Artikel,Kalimat,Teks,Tag
,Kalimat6,wali,O
,Kalimat6,kota,O
,Kalimat6,balikpapan,B-LOC
,Kalimat6,",",O
,Kalimat6,rahmad,B-PER
,Kalimat6,mas'ud,I-PER
,Kalimat6,terhadap,O
,Kalimat6,pernyataan,O
,Kalimat6,cawapres,O
,Kalimat6,nomor,O
,Kalimat6,urut,O
,Kalimat6,1,O
,Kalimat6,",",O
,Kalimat6,muhaimin,B-PER
,Kalimat6,iskandar,I-PER
,Kalimat6,atau,O
,Kalimat6,cak,O
,Kalimat6,imin,B-PER
,Kalimat6,.,O
,Kalimat7,gus,O
,Kalimat7,jazil,B-PER
,Kalimat7,menegaskan,O
,Kalimat7,yang,O
,Kalimat7,disampaikan,O
,Kalimat7,cak,O
,Kalimat7,imin,B-PER
,Kalimat7,mengenai,O
,Kalimat7,kurangnya,O
,Kalimat7,sarana,O
,Kalimat7,air,O
,Kalimat7,bersih,O
,Kalimat7,di,O
,Kalimat7,kota,O
,Kalimat7,balikpapan,B-LOC
,Kalimat7,merupkan,O
,Kalimat7,keluhan,O
,Kalimat7,dari,O
,Kalimat7,warga,O
,Kalimat7,.,O
,Kalimat8,``,O
,Kalimat8,cak,O
,Kalimat8,imin,B-PER
,Kalimat8,mendapatkan,O
,Kalimat8,keluhan,O
,Kalimat8,dari,O
,Kalimat8,warga,O
,Kalimat8,balikpapan,B-LOC
,Kalimat8,.,O
,Kalimat9,cak,O
,Kalimat9,imin,B-PER
,Kalimat9,kasihan,O
,Kalimat9,terhadap,O
,Kalimat9,3,O
,Kalimat9,kota,O
,Kalimat9,di,O
,Kalimat9,kalimantan,B-LOC
,Kalimat9,cawapres,O
,Kalimat9,urut,O
,Kalimat9,1,O
,Kalimat9,muhaimin,B-PER
,Kalimat9,iskandar,I-PER
,Kalimat9,(,O
,Kalimat9,cak,O
,Kalimat9,imin,B-PER
,Kalimat9,),O
,Kalimat9,mengatakan,O
,Kalimat9,pernyataan,O
,Kalimat9,kasihan,O
,Kalimat9,dengan,O
,Kalimat9,tiga,O
,Kalimat9,kota,O
,Kalimat9,di,O
,Kalimat9,kalimantan,B-LOC
,Kalimat9,",",O
,Kalimat9,yaitu,O
,Kalimat9,balikpapan,B-LOC
,Kalimat9,",",O
,Kalimat9,pontianak,B-LOC
,Kalimat9,dan,O
,Kalimat9,banjarmasin,B-LOC
,Kalimat9,.,O
,Kalimat10,balikpapan,B-LOC
,Kalimat10,kasihan,O
,Kalimat10,",",O
,Kalimat10,banjarmasin,B-LOC
,Kalimat10,kasihan,O
,Kalimat10,",",O
,Kalimat10,pontianak,B-LOC
,Kalimat10,kasihan,O
,Kalimat10,",",O
,Kalimat10,karena,O
,Kalimat10,apa,O
,Kalimat10,?,O
Artikel3,Kalimat10,gerakan,O
,Kalimat10,biru,O
,Kalimat10,kuning,O
,Kalimat10,(,O
,Kalimat10,gbk,O
,Kalimat10,),O
,Kalimat10,jawa,B-LOC
,Kalimat10,tengah,I-LOC
,Kalimat10,mendeklarasikan,O
,Kalimat10,dukungan,O
,Kalimat10,kepada,O
,Kalimat10,pasangan,O
,Kalimat10,capres-cawapres,O
,Kalimat10,anies,B-PER
,Kalimat10,baswedan,I-PER
,Kalimat10,dan,O
,Kalimat10,muhaimin,B-PER
,Kalimat10,iskandar,I-PER
,Kalimat10,(,O
,Kalimat10,amin,O
,Kalimat10,),O
,Kalimat10,.,O
,Kalimat11,kelompok,O
,Kalimat11,kaum,O
,Kalimat11,muda,O
,Kalimat11,ini,O
,Kalimat11,memberikan,O
,Kalimat11,dukungannya,O
,Kalimat11,karena,O
,Kalimat11,pasangan,O
,Kalimat11,amin,O
,Kalimat11,dinilai,O
,Kalimat11,membawa,O
,Kalimat11,gagasan,O
,Kalimat11,yang,O
,Kalimat11,konkret,O
,Kalimat11,terkait,O
,Kalimat11,perubahan,O
,Kalimat11,.,O
,Kalimat12,zen,O
,Kalimat12,sapaannya,O
,Kalimat12,memastikan,O
,Kalimat12,seluruh,O
,Kalimat12,relawan,O
,Kalimat12,gbk,O
,Kalimat12,jateng,B-LOC
,Kalimat12,siap,O
,Kalimat12,untuk,O
,Kalimat12,menjadi,O
,Kalimat12,motor,O
,Kalimat12,penggerak,O
,Kalimat12,dalam,O
,Kalimat12,memenangkan,O
,Kalimat12,pasangan,O
,Kalimat12,amin,O
,Kalimat12,pada,O
,Kalimat12,kontestasi,O
,Kalimat12,pemilu,O
,Kalimat12,2024.,B-TIM
,Kalimat12,ia,O
,Kalimat12,pun,O
,Kalimat12,menghimbau,O
,Kalimat12,kepada,O
,Kalimat12,kaum,O
,Kalimat12,muda,O
,Kalimat12,untuk,O
,Kalimat12,melek,O
,Kalimat12,politik,O
,Kalimat12,",",O
,Kalimat12,kreatif,O
,Kalimat12,",",O
,Kalimat12,dan,O
,Kalimat12,inovatif,O
,Kalimat12,dalam,O
,Kalimat12,perubahan,O
,Kalimat12,zaman,O
,Kalimat12,.,O
,Kalimat13,dalam,O
,Kalimat13,kesempatan,O
,Kalimat13,lain,O
,Kalimat13,",",O
,Kalimat13,salah,O
,Kalimat13,satu,O
,Kalimat13,peserta,O
,Kalimat13,deklarasi,O
,Kalimat13,gbk,O
,Kalimat13,yahya,B-PER
,Kalimat13,muhaimin,B-PER
,Kalimat13,menyampaikan,O
,Kalimat13,bahwa,O
,Kalimat13,pemuda,O
,Kalimat13,hari,O
,Kalimat13,ini,O
,Kalimat13,perlu,O
,Kalimat13,kritis,O
,Kalimat13,dalam,O
,Kalimat13,menentukan,O
,Kalimat13,pilihannya,O
,Kalimat13,.,O
Artikel4,Kalimat14,cawapres,O
,Kalimat14,nomor,O
,Kalimat14,urut,O
,Kalimat14,1,O
,Kalimat14,",",O
,Kalimat14,muhaimin,B-PER
,Kalimat14,iskandar,I-PER
,Kalimat14,(,O
,Kalimat14,cak,O
,Kalimat14,imin,B-PER
,Kalimat14,),O
,Kalimat14,",",O
,Kalimat14,sempat,O
,Kalimat14,mengungkap,O
,Kalimat14,keprihatinannya,O
,Kalimat14,atas,O
,Kalimat14,kondisi,O
,Kalimat14,air,O
,Kalimat14,bersih,O
,Kalimat14,di,O
,Kalimat14,balikpapan,B-LOC
,Kalimat14,",",O
,Kalimat14,kalimantan,B-LOC
,Kalimat14,timur,I-LOC
,Kalimat14,",",O
,Kalimat14,saat,O
,Kalimat14,debat,O
,Kalimat14,cawapres,O
,Kalimat14,beberapa,O
,Kalimat14,waktu,O
,Kalimat14,lalu,O
,Kalimat14,.,O
,Kalimat15,pernyataan,O
,Kalimat15,cak,O
,Kalimat15,imin,B-PER
,Kalimat15,itu,O
,Kalimat15,kemudian,O
,Kalimat15,dibantah,O
,Kalimat15,oleh,O
,Kalimat15,wali,O
,Kalimat15,kota,O
,Kalimat15,balikpapan,B-LOC
,Kalimat15,rahmad,B-PER
,Kalimat15,mas'ud,I-PER
,Kalimat15,.,O
,Kalimat16,dalam,O
,Kalimat16,debat,O
,Kalimat16,cawapres,O
,Kalimat16,pada,O
,Kalimat16,jumat,B-TIM
,Kalimat16,(,O
,Kalimat16,22/12/2023,I-TIM
,Kalimat16,),O
,Kalimat16,malam,I-TIM
,Kalimat16,",",O
,Kalimat16,cak,O
,Kalimat16,imin,B-PER
,Kalimat16,awalnya,O
,Kalimat16,mendapat,O
,Kalimat16,pertanyaan,O
,Kalimat16,dari,O
,Kalimat16,panelis,O
,Kalimat16,dengan,O
,Kalimat16,sub,O
,Kalimat16,tema,O
,Kalimat16,perkotaan,O
,Kalimat16,.,O
,Kalimat17,lebih,O
,Kalimat17,lanjut,O
,Kalimat17,",",O
,Kalimat17,cak,O
,Kalimat17,imin,B-PER
,Kalimat17,menyinggung,O
,Kalimat17,soal,O
,Kalimat17,fiskal,O
,Kalimat17,atau,O
,Kalimat17,pendapatan,O
,Kalimat17,negara,O
,Kalimat17,harus,O
,Kalimat17,dipakai,O
,Kalimat17,berdasarkan,O
,Kalimat17,skala,O
,Kalimat17,prioritas,O
,Kalimat17,.,O
,Kalimat18,lihat,O
,Kalimat18,juga,O
,Kalimat18,video,O
,Kalimat18,respons,O
,Kalimat18,anies,B-PER
,Kalimat18,soal,O
,Kalimat18,candaan,O
,Kalimat18,gus,O
,Kalimat18,yahya,B-PER
,Kalimat18,yang,O
,Kalimat18,sebut,O
,Kalimat18,cak,O
,Kalimat18,imin,B-PER
,Kalimat18,tak,O
,Kalimat18,menang,O
,Kalimat18,:,O
,Kalimat18,[,O
,Kalimat18,gambas,O
,Kalimat18,:,O
,Kalimat18,video,O
,Kalimat18,],O
Artikel5,Kalimat18,ketua,O
,Kalimat18,umum,O
,Kalimat18,pan,B-LOC
,Kalimat18,zulkifli,B-PER
,Kalimat18,hasan,I-PER
,Kalimat18,(,O
,Kalimat18,zulhas,B-PER
,Kalimat18,),O
,Kalimat18,optimistis,O
,Kalimat18,pan,B-ORG
,Kalimat18,dan,O
,Kalimat18,prabowo-gibran,B-PER
,Kalimat18,bisa,O
,Kalimat18,menang,O
,Kalimat18,di,O
,Kalimat18,tegal,B-LOC
,Kalimat18,.,O
,Kalimat19,``,O
,Kalimat19,atusiasme,O
,Kalimat19,masyarakat,O
,Kalimat19,kabupaten,O
,Kalimat19,tegal,B-LOC
,Kalimat19,luar,O
,Kalimat19,biasa,O
,Kalimat19,saya,O
,Kalimat19,terima,O
,Kalimat19,kasih,O
,Kalimat19,",",O
,Kalimat19,apresiasi,O
,Kalimat19,tinggi,O
,Kalimat19,terhadap,O
,Kalimat19,kabupaten,O
,Kalimat19,tegal,B-LOC
,Kalimat19,walaupun,O
,Kalimat19,mendadak,O
,Kalimat19,tapi,O
,Kalimat19,menghadiri,O
,Kalimat19,kampanye,O
,Kalimat19,pan,B-ORG
,Kalimat19,ramai,O
,Kalimat19,sekali,O
,Kalimat19,",",O
,Kalimat19,',O
,Kalimat19,kata,O
,Kalimat19,zulhas,B-PER
,Kalimat19,saat,O
,Kalimat19,berkampanye,O
,Kalimat19,di,O
,Kalimat19,kabupaten,O
,Kalimat19,tegal,B-LOC
,Kalimat19,",",O
,Kalimat19,jawa,B-PER
,Kalimat19,tengah,I-PER
,Kalimat19,",",O
,Kalimat19,senin,B-TIM
,Kalimat19,(,O
,Kalimat19,25/12/2023,I-TIM
,Kalimat19,),O
,Kalimat19,.,O
,Kalimat20,pantauan,O
,Kalimat20,detikcom,B-ORG
,Kalimat20,",",O
,Kalimat20,sejumlah,O
,Kalimat20,titik,O
,Kalimat20,lokasi,O
,Kalimat20,kampanye,O
,Kalimat20,pan,B-ORG
,Kalimat20,nampak,O
,Kalimat20,begitu,O
,Kalimat20,ramai,O
,Kalimat20,dihadiri,O
,Kalimat20,oleh,O
,Kalimat20,warga,O
,Kalimat20,dan,O
,Kalimat20,kader,O
,Kalimat20,pan,B-ORG
,Kalimat20,.,O
,Kalimat21,tak,O
,Kalimat21,jarang,O
,Kalimat21,mereka,O
,Kalimat21,turut,O
,Kalimat21,menyanyikan,O
,Kalimat21,lagu,O
,Kalimat21,pan,B-ORG
,Kalimat21,pan,B-ORG
,Kalimat21,pan,B-ORG
,Kalimat21,.,O
,Kalimat22,``,O
,Kalimat22,mudah-mudahan,O
,Kalimat22,antusias,O
,Kalimat22,semangat,O
,Kalimat22,gairah,O
,Kalimat22,masyarakat,O
,Kalimat22,tegal,B-LOC
,Kalimat22,yang,O
,Kalimat22,begitu,O
,Kalimat22,luar,O
,Kalimat22,biasa,O
,Kalimat22,ini,O
,Kalimat22,bakal,O
,Kalimat22,memenangkan,O
,Kalimat22,pan,O
,Kalimat22,di,O
,Kalimat22,kabupaten,O
,Kalimat22,tegal,B-LOC
,Kalimat22,dan,O
,Kalimat22,juga,O
,Kalimat22,menangkan,O
,Kalimat22,prabowo-gibran,B-PER
,Kalimat22,",",O
,Kalimat22,',O
,Kalimat22,harap,O
,Kalimat22,zulhas,B-PER
,Kalimat22,.,O
Artikel6,Kalimat23,capres,O
,Kalimat23,nomor,O
,Kalimat23,urut,O
,Kalimat23,3,O
,Kalimat23,ganjar,B-PER
,Kalimat23,pranowo,I-PER
,Kalimat23,mengungkapkan,O
,Kalimat23,akan,O
,Kalimat23,membawa,O
,Kalimat23,keberhasilan,O
,Kalimat23,pengelolaan,O
,Kalimat23,zakat,O
,Kalimat23,bersama,O
,Kalimat23,badan,B-ORG
,Kalimat23,amil,I-ORG
,Kalimat23,zakat,I-ORG
,Kalimat23,nasional,I-ORG
,Kalimat23,(,O
,Kalimat23,baznas,B-ORG
,Kalimat23,),O
,Kalimat23,ke,O
,Kalimat23,tingkat,O
,Kalimat23,nasional,O
,Kalimat23,.,O
,Kalimat24,ia,O
,Kalimat24,mengatakan,O
,Kalimat24,kolaborasi,O
,Kalimat24,pemprov,O
,Kalimat24,jawa,B-LOC
,Kalimat24,tengah,I-LOC
,Kalimat24,dengan,O
,Kalimat24,baznas,B-ORG
,Kalimat24,jawa,B-LOC
,Kalimat24,tengah,I-LOC
,Kalimat24,dalam,O
,Kalimat24,mengelola,O
,Kalimat24,zakat,O
,Kalimat24,bahkan,O
,Kalimat24,sukses,O
,Kalimat24,mengantarkan,O
,Kalimat24,ganjar,B-PER
,Kalimat24,meraih,O
,Kalimat24,penghargaan,O
,Kalimat24,dari,O
,Kalimat24,baznas,B-ORG
,Kalimat24,ri,O
,Kalimat24,sebagai,O
,Kalimat24,gubernur,O
,Kalimat24,pendukung,O
,Kalimat24,utama,O
,Kalimat24,pengelolaan,O
,Kalimat24,zakat,O
,Kalimat24,di,O
,Kalimat24,indonesia,B-LOC
,Kalimat24,.,O
,Kalimat25,bersama,O
,Kalimat25,baznas,B-ORG
,Kalimat25,",",O
,Kalimat25,ganjar,B-PER
,Kalimat25,menaikkan,O
,Kalimat25,jumlah,O
,Kalimat25,penerimaan,O
,Kalimat25,zakat,O
,Kalimat25,dari,O
,Kalimat25,tahun,O
,Kalimat25,ke,O
,Kalimat25,tahun,O
,Kalimat25,.,O
,Kalimat26,apakah,O
,Kalimat26,sekolah,O
,Kalimat26,untuk,O
,Kalimat26,orang,O
,Kalimat26,miskin,O
,Kalimat26,",",O
,Kalimat26,model,O
,Kalimat26,pengelolaan,O
,Kalimat26,baznas,B-ORG
,Kalimat26,dengan,O
,Kalimat26,model,O
,Kalimat26,payroll,O
,Kalimat26,terus,O
,Kalimat26,kemudian,O
,Kalimat26,perhatian,O
,Kalimat26,pada,O
,Kalimat26,guru,O
,Kalimat26,agama,O
,Kalimat26,",",O
,Kalimat26,guru,O
,Kalimat26,ngaji,O
,Kalimat26,menurut,O
,Kalimat26,saya,O
,Kalimat26,ini,O
,Kalimat26,cara,O
,Kalimat26,yang,O
,Kalimat26,bisa,O
,Kalimat26,kita,O
,Kalimat26,naikkan,O
,Kalimat26,ke,O
,Kalimat26,nasional,O
,Kalimat26,",",O
,Kalimat26,',O
,Kalimat26,ujar,O
,Kalimat26,ganjar,B-PER
,Kalimat26,dalam,O
,Kalimat26,keteranganya,O
,Kalimat26,",",O
,Kalimat26,senin,B-TIM
,Kalimat26,(,O
,Kalimat26,25/12/2023,I-TIM
,Kalimat26,),O
,Kalimat26,.,O
,Kalimat27,lebih,O
,Kalimat27,lanjut,O
,Kalimat27,",",O
,Kalimat27,ganjar,B-PER
,Kalimat27,mengungkapkan,O
,Kalimat27,keberhasilannya,O
,Kalimat27,mengelola,O
,Kalimat27,zakat,O
,Kalimat27,bersama,O
,Kalimat27,baznas,B-ORG
,Kalimat27,di,O
,Kalimat27,hadapan,O
,Kalimat27,ulama,O
,Kalimat27,dan,O
,Kalimat27,masyarakat,O
,Kalimat27,yang,O
,Kalimat27,hadir,O
,Kalimat27,.,O
Artikel7,Kalimat28,ketua,O
,Kalimat28,umum,O
,Kalimat28,pan,B-ORG
,Kalimat28,zulkifli,B-PER
,Kalimat28,hasan,I-PER
,Kalimat28,(,O
,Kalimat28,zulhas,B-PER
,Kalimat28,),O
,Kalimat28,turut,O
,Kalimat28,mensosialisaikan,O
,Kalimat28,program,O
,Kalimat28,susu,O
,Kalimat28,dan,O
,Kalimat28,makan,O
,Kalimat28,siang,O
,Kalimat28,gratis,O
,Kalimat28,yang,O
,Kalimat28,diusulkan,O
,Kalimat28,oleh,O
,Kalimat28,pasangan,O
,Kalimat28,capres,O
,Kalimat28,&,O
,Kalimat28,cawapres,O
,Kalimat28,nomor,O
,Kalimat28,urut,O
,Kalimat28,dua,O
,Kalimat28,gibran,B-PER
,Kalimat28,prabowo,I-PER
,Kalimat28,.,O
,Kalimat29,sehingga,O
,Kalimat29,indonesia,B-LOC
,Kalimat29,memiliki,O
,Kalimat29,sdm,O
,Kalimat29,unggul,O
,Kalimat29,yang,O
,Kalimat29,mempunyai,O
,Kalimat29,daya,O
,Kalimat29,saing,O
,Kalimat29,tinggi,O
,Kalimat29,sekaligus,O
,Kalimat29,bisa,O
,Kalimat29,mewujudkan,O
,Kalimat29,indonesia,B-LOC
,Kalimat29,emas,O
,Kalimat29,di,O
,Kalimat29,2045,B-TIM
,Kalimat29,mendatang,O
,Kalimat29,.,O
,Kalimat30,',O
,Kalimat30,program,O
,Kalimat30,susu,O
,Kalimat30,gratis,O
,Kalimat30,agar,O
,Kalimat30,anak-anak,O
,Kalimat30,yang,O
,Kalimat30,bersekolah,O
,Kalimat30,sehat,O
,Kalimat30,dan,O
,Kalimat30,pintar,O
,Kalimat30,",",O
,Kalimat30,',O
,Kalimat30,kata,O
,Kalimat30,zulhas,B-PER
,Kalimat30,di,O
,Kalimat30,kabupaten,O
,Kalimat30,tegal,B-LOC
,Kalimat30,",",O
,Kalimat30,senin,B-TIM
,Kalimat30,(,O
,Kalimat30,25/12/2023,I-TIM
,Kalimat30,),O
,Kalimat30,.,O
,Kalimat31,``,O
,Kalimat31,kalau,O
,Kalimat31,pan,B-ORG
,Kalimat31,dan,O
,Kalimat31,gibran,B-PER
,Kalimat31,prabowo,I-PER
,Kalimat31,menang,O
,Kalimat31,ada,O
,Kalimat31,program,O
,Kalimat31,susu,O
,Kalimat31,dan,O
,Kalimat31,makan,O
,Kalimat31,siang,O
,Kalimat31,gratis,O
,Kalimat31,untuk,O
,Kalimat31,anak-anak,O
,Kalimat31,yang,O
,Kalimat31,bersekolah,O
,Kalimat31,",",O
,Kalimat31,',O
,Kalimat31,ujar,O
,Kalimat31,zulhas,B-PER
,Kalimat31,.,O
,Kalimat32,``,O
,Kalimat32,gibran,B-PER
,Kalimat32,prabowo,I-PER
,Kalimat32,",",O
,Kalimat32,',O
,Kalimat32,teriak,O
,Kalimat32,zulhas,B-PER
,Kalimat32,saat,O
,Kalimat32,orasi,O
,Kalimat32,politik,O
,Kalimat32,.,O
Artikel8,Kalimat33,relawan,O
,Kalimat33,untuk,O
,Kalimat33,majukan,O
,Kalimat33,indonesia,B-LOC
,Kalimat33,(,O
,Kalimat33,rumi,B-PER
,Kalimat33,),O
,Kalimat33,dan,O
,Kalimat33,kawan,O
,Kalimat33,gibran,B-PER
,Kalimat33,merilis,O
,Kalimat33,maskot,O
,Kalimat33,gemoy,O
,Kalimat33,menang,O
,Kalimat33,besar,O
,Kalimat33,.,O
,Kalimat34,hal,O
,Kalimat34,ini,O
,Kalimat34,disebut,O
,Kalimat34,dilakukan,O
,Kalimat34,untuk,O
,Kalimat34,menambah,O
,Kalimat34,semangat,O
,Kalimat34,dalam,O
,Kalimat34,memenangkan,O
,Kalimat34,gibran,B-PER
,Kalimat34,prabowo,I-PER
,Kalimat34,di,O
,Kalimat34,pilpres,O
,Kalimat34,2024,B-TIM
,Kalimat34,.,O
,Kalimat35,``,O
,Kalimat35,respon,O
,Kalimat35,luar,O
,Kalimat35,biasa,O
,Kalimat35,mereka,O
,Kalimat35,atas,O
,Kalimat35,maskot,O
,Kalimat35,gemoy,O
,Kalimat35,menang,O
,Kalimat35,besar,O
,Kalimat35,semakin,O
,Kalimat35,membuat,O
,Kalimat35,kami,O
,Kalimat35,yakin,O
,Kalimat35,bahwa,O
,Kalimat35,kemenangan,O
,Kalimat35,gibran,B-PER
,Kalimat35,prabowo,I-PER
,Kalimat35,semakin,O
,Kalimat35,dekat,O
,Kalimat35,",",O
,Kalimat35,kami,O
,Kalimat35,akan,O
,Kalimat35,menjemput,O
,Kalimat35,itu,O
,Kalimat35,dengan,O
,Kalimat35,penuh,O
,Kalimat35,semangat,O
,Kalimat35,",",O
,Kalimat35,',O
,Kalimat35,ujar,O
,Kalimat35,sekjen,O
,Kalimat35,kornas,O
,Kalimat35,rumi,B-PER
,Kalimat35,",",O
,Kalimat35,irfan,I-PER
,Kalimat35,",",O
,Kalimat35,dalam,O
,Kalimat35,keterangannya,O
,Kalimat35,",",O
,Kalimat35,senin,B-TIM
,Kalimat35,(,O
,Kalimat35,25/12/2023,I-TIM
,Kalimat35,),O
,Kalimat35,.,O
,Kalimat36,sementara,O
,Kalimat36,content,O
,Kalimat36,itu,O
,Kalimat36,ketua,O
,Kalimat36,tkd,O
,Kalimat36,gibran,B-PER
,Kalimat36,prabowo,I-PER
,Kalimat36,dki,O
,Kalimat36,jakarta,B-LOC
,Kalimat36,",",O
,Kalimat36,ahmed,B-PER
,Kalimat36,zaki,I-PER
,Kalimat36,",",O
,Kalimat36,menyambut,O
,Kalimat36,positif,O
,Kalimat36,launching,O
,Kalimat36,maskot,O
,Kalimat36,gemoy,O
,Kalimat36,menang,O
,Kalimat36,besar,O
,Kalimat36,yang,O
,Kalimat36,digagas,O
,Kalimat36,rumi,B-PER
,Kalimat36,dan,O
,Kalimat36,kawan,O
,Kalimat36,gibran,B-PER
,Kalimat36,.,O
,Kalimat37,``,O
,Kalimat37,saya,O
,Kalimat37,berharap,O
,Kalimat37,rumi,B-PER
,Kalimat37,dan,O
,Kalimat37,kawan,O
,Kalimat37,gibran,B-PER
,Kalimat37,dapat,O
,Kalimat37,membantu,O
,Kalimat37,kami,O
,Kalimat37,tkd,O
,Kalimat37,dki,O
,Kalimat37,jakarta,B-LOC
,Kalimat37,untuk,O
,Kalimat37,merebut,O
,Kalimat37,suara,O
,Kalimat37,sebanyak-banyaknya,
,Kalimat37,dan,O
,Kalimat37,memastikan,O
,Kalimat37,gibran,B-PER
,Kalimat37,prabowo,I-PER
,Kalimat37,menang,O
,Kalimat37,besar,O
,Kalimat37,di,O
,Kalimat37,jakarta,B-LOC
,Kalimat37,",",O
,Kalimat37,sesuai,O
,Kalimat37,dengan,O
,Kalimat37,selogan,O
,Kalimat37,rumi,B-PER
,Kalimat37,menang,O
,Kalimat37,besar,O
,Kalimat37,",",O
,Kalimat37,',O
,Kalimat37,sambungnya,O
,Kalimat37,.,O
Artikel9,Kalimat38,laskar,O
,Kalimat38,santri,
,Kalimat38,di,O
,Kalimat38,lumajang,B-LOC
,Kalimat38,",",O
,Kalimat38,jawa,B-LOC
,Kalimat38,timur,I-LOC
,Kalimat38,",",O
,Kalimat38,mendeklarasikan,O
,Kalimat38,dukungannya,O
,Kalimat38,untuk,O
,Kalimat38,pasangan,O
,Kalimat38,calon,O
,Kalimat38,nomor,O
,Kalimat38,urut,O
,Kalimat38,1,B-TIM
,Kalimat38,anies,B-PER
,Kalimat38,baswedan,I-PER
,Kalimat38,dan,O
,Kalimat38,muahimin,B-PER
,Kalimat38,iskandar,I-PER
,Kalimat38,(,O
,Kalimat38,amin,O
,Kalimat38,),O
,Kalimat38,.,O
,Kalimat39,deklarasi,O
,Kalimat39,dukungan,O
,Kalimat39,itu,O
,Kalimat39,berlangsung,O
,Kalimat39,di,O
,Kalimat39,pondok,O
,Kalimat39,pesantren,O
,Kalimat39,at-tarbiyah,B-ORG
,Kalimat39,linnasyi'in,I-ORG
,Kalimat39,",",O
,Kalimat39,kecamatan,O
,Kalimat39,kedungjajan,B-LOC
,Kalimat39,",",O
,Kalimat39,kabupaten,O
,Kalimat39,lumajang,B-LOC
,Kalimat39,.,O
,Kalimat40,berdasarkan,O
,Kalimat40,keterangan,O
,Kalimat40,yang,O
,Kalimat40,diterima,O
